EL_DIVISADERO	0	6.76154	6.22312	6.88966	7.09794	6.62126	6.45836	6.61619	6.1609	6.69016	6.53505	6.16976	6.72905	6.52482
EL_ALTAR	6.76154	0	6.39932	7.08276	7.54275	6.78364	6.69807	6.68221	6.44795	6.65396	6.47342	6.14345	6.81963	6.81311
MANQUEHUA	6.22312	6.39932	0	6.80114	7.13107	6.45135	6.33918	6.47989	6.0764	6.5171	6.30253	6.0059	6.52612	6.46688
PUNITAQUI	6.88966	7.08276	6.80114	0	7.56036	7.09547	6.91759	7.1225	6.6697	7.17444	6.96936	6.63253	7.19511	7.04971
RINCONADA_DE_PUNITAQUI	7.09794	7.54275	7.13107	7.56036	0	7.14898	6.78166	7.36742	6.64955	7.56258	7.15708	6.94661	7.43773	7.02187
BARRAZA	6.62126	6.78364	6.45135	7.09547	7.14898	0	6.46415	6.81268	6.23741	6.81492	6.54514	6.37857	6.83229	6.66751
CANELILLA_OVALLE	6.45836	6.69807	6.33918	6.91759	6.78166	6.46415	0	6.63974	6.04455	6.74125	6.40627	6.23286	6.64895	6.4686
CANELA_BAJA	6.61619	6.68221	6.47989	7.1225	7.36742	6.81268	6.63974	0	6.40267	6.7963	6.62542	6.27292	6.86327	6.8073
LA_CALERA	6.1609	6.44795	6.0764	6.6697	6.64955	6.23741	6.04455	6.40267	0	6.45666	6.20491	5.99493	6.458	6.20074
EL_ESPINAL	6.69016	6.65396	6.5171	7.17444	7.56258	6.81492	6.74125	6.7963	6.45666	0	6.58623	6.28754	6.84698	6.85664
PUCLARO	6.53505	6.47342	6.30253	6.96936	7.15708	6.54514	6.40627	6.62542	6.20491	6.58623	0	6.24229	6.58503	6.59964
HUENTELAUQUEN	6.16976	6.14345	6.0059	6.63253	6.94661	6.37857	6.23286	6.27292	5.99493	6.28754	6.24229	0	6.40628	6.37762
CASTILLO_MAL_PASO	6.72905	6.81963	6.52612	7.19511	7.43773	6.83229	6.64895	6.86327	6.458	6.84698	6.58503	6.40628	0	6.85488
MONTE_PATRIA	6.52482	6.81311	6.46688	7.04971	7.02187	6.66751	6.4686	6.8073	6.20074	6.85664	6.59964	6.37762	6.85488	0
